time_iso8601,forks_cumulative
2024-11-27 00:00:00+00:00,188
2024-11-29 00:00:00+00:00,190
2024-11-30 00:00:00+00:00,191
2024-12-02 00:00:00+00:00,194
2024-12-03 00:00:00+00:00,196
2024-12-04 00:00:00+00:00,198
2024-12-05 00:00:00+00:00,199
2024-12-06 00:00:00+00:00,201
2024-12-09 00:00:00+00:00,202
2024-12-10 00:00:00+00:00,204
2024-12-11 00:00:00+00:00,206
2024-12-12 00:00:00+00:00,207
2024-12-16 00:00:00+00:00,211
2024-12-19 00:00:00+00:00,212
2024-12-20 00:00:00+00:00,213
2024-12-22 00:00:00+00:00,214
2024-12-23 00:00:00+00:00,216
2024-12-24 00:00:00+00:00,218
2024-12-25 00:00:00+00:00,219
2024-12-26 00:00:00+00:00,220
2024-12-27 00:00:00+00:00,221
2024-12-28 00:00:00+00:00,222
2024-12-29 00:00:00+00:00,223
2024-12-31 00:00:00+00:00,224
2025-01-02 00:00:00+00:00,225
2025-01-03 00:00:00+00:00,226
2025-01-04 00:00:00+00:00,227
2025-01-06 00:00:00+00:00,228
2025-01-07 00:00:00+00:00,229
2025-01-09 00:00:00+00:00,230
2025-01-10 00:00:00+00:00,232
2025-01-15 00:00:00+00:00,233
2025-01-22 00:00:00+00:00,234
2025-01-23 00:00:00+00:00,235
2025-01-28 00:00:00+00:00,236
2025-02-07 00:00:00+00:00,237
2025-02-11 00:00:00+00:00,238
2025-02-12 00:00:00+00:00,241
2025-02-16 00:00:00+00:00,242
2025-02-18 00:00:00+00:00,243
2025-02-19 00:00:00+00:00,244
2025-02-21 00:00:00+00:00,246
2025-02-25 00:00:00+00:00,248
2025-02-26 00:00:00+00:00,249
2025-02-27 00:00:00+00:00,251
2025-02-28 00:00:00+00:00,252
2025-03-01 00:00:00+00:00,254
2025-03-03 00:00:00+00:00,255
2025-03-04 00:00:00+00:00,257
2025-03-05 00:00:00+00:00,259
2025-03-06 00:00:00+00:00,260
2025-03-09 00:00:00+00:00,261
2025-03-15 00:00:00+00:00,262
2025-03-17 00:00:00+00:00,264
2025-03-28 00:00:00+00:00,265
2025-04-02 00:00:00+00:00,266
2025-04-04 00:00:00+00:00,267
2025-04-07 00:00:00+00:00,268
2025-04-08 00:00:00+00:00,270
2025-04-10 00:00:00+00:00,272
2025-04-15 00:00:00+00:00,273
2025-04-17 00:00:00+00:00,274
2025-04-19 00:00:00+00:00,275
2025-04-20 00:00:00+00:00,276
2025-04-22 00:00:00+00:00,277
2025-04-23 00:00:00+00:00,278
2025-04-27 00:00:00+00:00,280
2025-04-28 00:00:00+00:00,281
2025-04-29 00:00:00+00:00,282
2025-05-07 00:00:00+00:00,283
2025-05-10 00:00:00+00:00,284
2025-05-13 00:00:00+00:00,285
2025-05-14 00:00:00+00:00,286
2025-05-18 00:00:00+00:00,287
